"","estimate","pt","pr","covariate.set","n","m"
"206",6.41259142202667,0.1,0.5,"Minimal",150,1000
"207",5.23486392214886,0.1,0.25,"Extended",150,1000
"208",5.41378709801121,0.1,0.25,"Minimal",150,1000
"209",6.47058562217291,0.1,0.5,"Extended",150,1000
"210",6.30741262523037,0.1,0.5,"Minimal",150,1000
"211",6.87570806513454,0.1,0.25,"Extended",150,1000
"212",7.06494556227553,0.1,0.25,"Minimal",150,1000
"213",5.4682115496385,0.1,0.5,"Extended",150,1000
"214",5.71512189624526,0.1,0.5,"Minimal",150,1000
"215",5.83048619842475,0.1,0.25,"Extended",150,1000
"216",5.89621265711967,0.1,0.25,"Minimal",150,1000
"217",6.56377745401961,0.1,0.5,"Extended",150,1000
"218",6.82766422021679,0.1,0.5,"Minimal",150,1000
"219",6.59117529373368,0.1,0.25,"Extended",150,1000
"220",6.59261941867773,0.1,0.25,"Minimal",150,1000
"221",6.53565862926691,0.1,0.5,"Extended",150,1000
"222",7.01480899134739,0.1,0.5,"Minimal",150,1000
"223",6.15179065986726,0.1,0.25,"Extended",150,1000
"224",5.98013304648787,0.1,0.25,"Minimal",150,1000
"225",5.65628834746906,0.1,0.5,"Extended",150,1000
"226",6.27856010282412,0.1,0.5,"Minimal",150,1000
"227",7.16252864493982,0.1,0.25,"Extended",150,1000
"228",7.04446799519759,0.1,0.25,"Minimal",150,1000
"229",7.16240683091452,0.1,0.5,"Extended",150,1000
"230",6.83643945522238,0.1,0.5,"Minimal",150,1000
"231",5.51865397891404,0.1,0.25,"Extended",150,1000
"232",5.14062310569622,0.1,0.25,"Minimal",150,1000
"233",7.42664616784107,0.1,0.5,"Extended",150,1000
"234",7.03559240775939,0.1,0.5,"Minimal",150,1000
"235",6.00936000830186,0.1,0.25,"Extended",150,1000
"236",6.03532415639619,0.1,0.25,"Minimal",150,1000
"237",7.7340333346299,0.1,0.5,"Extended",150,1000
"238",7.32686929926067,0.1,0.5,"Minimal",150,1000
"239",5.9587879502331,0.1,0.25,"Extended",150,1000
"240",5.90948793686156,0.1,0.25,"Minimal",150,1000
"241",6.70659151643645,0.1,0.5,"Extended",150,1000
"242",7.18883858946969,0.1,0.5,"Minimal",150,1000
"243",7.97201415533518,0.1,0.25,"Extended",150,1000
"244",7.68072778943356,0.1,0.25,"Minimal",150,1000
"245",6.81602458325457,0.1,0.5,"Extended",150,1000
"246",6.59514386711806,0.1,0.5,"Minimal",150,1000
"247",5.73267876323174,0.1,0.25,"Extended",150,1000
"248",5.71480688011351,0.1,0.25,"Minimal",150,1000
"249",5.3608576880836,0.1,0.5,"Extended",150,1000
"250",5.60931853620336,0.1,0.5,"Minimal",150,1000
"251",5.38222306664732,0.1,0.25,"Extended",150,1000
"252",5.44035258786564,0.1,0.25,"Minimal",150,1000
"253",6.27085036914022,0.1,0.5,"Extended",150,1000
"254",7.66579291692274,0.1,0.5,"Minimal",150,1000
"255",5.97384723320446,0.1,0.25,"Extended",150,1000
"256",5.76146420743118,0.1,0.25,"Minimal",150,1000
"257",7.31272002477638,0.1,0.5,"Extended",150,1000
"258",7.69287893273526,0.1,0.5,"Minimal",150,1000
"259",6.43611916318503,0.1,0.25,"Extended",150,1000
"260",6.7200117866885,0.1,0.25,"Minimal",150,1000
"261",5.85997684717736,0.1,0.5,"Extended",150,1000
"262",5.96971569064604,0.1,0.5,"Minimal",150,1000
"263",7.0154880443638,0.1,0.25,"Extended",150,1000
"264",6.92571944387214,0.1,0.25,"Minimal",150,1000
"265",6.27849940483194,0.1,0.5,"Extended",150,1000
"266",7.09429276755968,0.1,0.5,"Minimal",150,1000
"267",6.095303533178,0.1,0.25,"Extended",150,1000
"268",5.96530303953434,0.1,0.25,"Minimal",150,1000
"269",6.60364927799536,0.1,0.5,"Extended",150,1000
"270",6.67064592215284,0.1,0.5,"Minimal",150,1000
"271",6.55084549048498,0.1,0.25,"Extended",150,1000
"272",6.66779938498608,0.1,0.25,"Minimal",150,1000
"273",8.22734314470907,0.1,0.5,"Extended",150,1000
"274",7.50215799827218,0.1,0.5,"Minimal",150,1000
"275",5.90264002190056,0.1,0.25,"Extended",150,1000
"276",6.1020186083132,0.1,0.25,"Minimal",150,1000
"277",6.94030989831959,0.1,0.5,"Extended",150,1000
"278",7.27110975100128,0.1,0.5,"Minimal",150,1000
"279",6.79548018650467,0.1,0.25,"Extended",150,1000
"280",7.18364213453931,0.1,0.25,"Minimal",150,1000
"281",5.61402519410043,0.1,0.5,"Extended",150,1000
"282",5.62152578609188,0.1,0.5,"Minimal",150,1000
"283",6.75683562457201,0.1,0.25,"Extended",150,1000
"284",6.79816665961992,0.1,0.25,"Minimal",150,1000
"285",6.78170067034028,0.1,0.5,"Extended",150,1000
"286",7.77265688067917,0.1,0.5,"Minimal",150,1000
"287",7.06151742594697,0.1,0.25,"Extended",150,1000
